PIF: 
token='BEGIN', positionInST=-1
token='INT', positionInST=-1
token='n', positionInST=0
token=';', positionInST=-1
token='INT', positionInST=-1
token='x', positionInST=1
token=';', positionInST=-1
token='READ', positionInST=-1
token='n', positionInST=0
token=';', positionInST=-1
token='INT', positionInST=-1
token='sum', positionInST=2
token=';', positionInST=-1
token='sum', positionInST=2
token=':=', positionInST=-1
token='0', positionInST=3
token=';', positionInST=-1
token='FOR', positionInST=-1
token='(', positionInST=-1
token='INT', positionInST=-1
token='i', positionInST=4
token=':=', positionInST=-1
token='0', positionInST=3
token=';', positionInST=-1
token='i', positionInST=4
token='<', positionInST=-1
token='n', positionInST=0
token=';', positionInST=-1
token='i', positionInST=4
token='++', positionInST=-1
token=')', positionInST=-1
token='{', positionInST=-1
token='READ', positionInST=-1
token='x', positionInST=1
token=';', positionInST=-1
token='sum', positionInST=2
token=':=', positionInST=-1
token='sum', positionInST=2
token='+', positionInST=-1
token='x', positionInST=1
token=';', positionInST=-1
token='}', positionInST=-1
token='PRINT', positionInST=-1
token='sum', positionInST=2
token=';', positionInST=-1
token='END', positionInST=-1
